object_id,ra_deg,dec_deg,neowise_class,raw_text
67141,267.705125,-24.701444,ClassII,67141  267.705125  -24.701444 ClassII  2MASS  J17504921-2442052 0.13  Long-Period  Variable Periodic  (long  timescale)
117061,341.353083,+59.781278,FS,117061  341.353083  +59.781278 FS  2MASS  J22452476+5946526 0.2  Young  Stellar  Object Irregular  variability
116399,335.339500,+58.577722,ClassII,116399  335.339500  +58.577722 ClassII  2MASS  J22212147+5834397 0.02  Young  Stellar  Object Irregular  variability
116019,331.825167,+59.027750,FS,116019  331.825167  +59.027750 FS  2MASS  J22071803+5901400 0.19  Young  Stellar  Object Irregular  variability ZTF_325.348403_65.927139 325.348403  +65.927139 N/A  2MASS  J21412361+6555377 0.12  Long-Period  Variable Periodic  (long  timescale)
112449,308.272708,+41.148139,ClassII,112449  308.272708  +41.148139 ClassII  2MASS  J20330544+4108533 0.04  Star  Constant  /  low  variability
107180,297.458583,+26.690194,FS,107180  297.458583  +26.690194 FS  2MASS  J19495004+2641251 0.18  Young  Stellar  Object  Candidate Irregular  variability
101529,290.588583,+14.789306,FS,101529  290.588583  +14.789306 FS  IRAS  19200+1441 0.12  Asymptotic  Giant  Branch  Star  Candidate Periodic  variability
79117,274.278583,-12.202694,ClassI,79117  274.278583  -12.202694 ClassI  2MASS  J18170686-1212097 0.09  Young  Stellar  Object  Candidate Irregular  variability
68427,268.631917,-26.887583,FS,68427  268.631917  -26.887583 FS  267.705125  -24.701444SPICY  68427 0.06  Young  Stellar  Object  Candidate Irregular  variability
116852,338.696292,58.199778,Linear,116852 338.696292   58.199778 Linear  1:  AT  2020rb   2:  2MASS  J22344713+5811591 1:  0.08   2:  0.20 1:  Transient  Event   2:  Young  Stellar  Object  Candidate Transient  (sudden  brightening)
115989,331.329167,57.439694,Linear,115989  331.329167  57.439694  Linear  2MASS  J22051900+5726230 0.12  Young  Stellar  Object Irregular  variability
68430,268.632708,-26.887222,Linear,68430 268.632708   -26.887222 Linear  1:  SPICY  68430   2:  HIGALBM  G002.7686-00.6377 1:  0.06   2:  0.40 1:  Young  Stellar  Object  Candidate   2:  Sub-Millimetric  Source Irregular  variability
61385,274.451958,-11.899833,Linear,61385 274.451958  -11.899833 Linear  2MASS  J17445678-2626450 0.16  Long-Period  Variable Periodic  (long  timescale)
79723,308.186708,41.207833,Linear,79723 308.186708  41.207833  Linear  No  Object  Found N/A  No  Object  Found No  clear  variability
112261,292.457966,17.363992,Linear,112261  292.457966  17.363992  Linear  ZTF  J203244.79+411228.1 0.11  Long-Period  Variable Periodic  (long  timescale) J192949.89+172150.2 292.457966  17.363992  Linear  MASS  J19294989+1721504 0.15  Young  Stellar  Object  Candidate Irregular  variability J224524.75+594652.6 341.353103  59.781274   Linear  2MASS  J22452476+5946526 0.16  Young  Stellar  Object Irregular  variability
68318,268.564875,-20.585222,Linear,68318  268.564875  -20.585222 Linear  2MASS  J17541557-2035067 0.04  Long-Period  Variable  Candidate Periodic  (likely)
107245,297.639083,27.865472,Linear,107245  297.639083  27.865472  Linear  ZTF  J195033.36+275155.8 0.23  Long-Period  Variable Periodic  (long  timescale)
77881,273.694833,-20.588361,Linear,77881 273.694833   -20.588361 Linear  MSX6C  G010.5300-01.5837 0.37  Planetary  Nebula Mostly  constant
